recommendation_rank,flow_rate_L_min,channel_number,channel_width_mm,channel_height_mm,required_width_mm,predicted_max_temperature_C,predicted_pressure_drop_kPa_raw,predicted_pressure_drop_kPa,predicted_thermal_margin_C,predicted_pressure_margin_kPa,manufacturing_score,engineering_score,physics_engineering_score,physics_max_temperature_C,physics_pressure_drop_kPa,physics_pumping_power_W,physics_Re,physics_flow_regime,physics_thermal_ok,physics_pressure_ok,physics_feasible
11,0.5083225564905378,19,0.8577638760004906,3.085028032114777,25.29751364400932,80.4768621465756,0.05030950785583207,0.05030950785583207,4.5231378534244016,49.94969049214417,0,0.0008093029771248179,0.031174458939393603,79.94497266555219,0.1326270191181333,0.0011236217569641491,253.3762014897495,Laminar,True,True,True
12,0.6204568845594438,21,1.1893139450205468,3.56523996931167,34.97559284543148,79.89746926239518,-0.14515487501804372,0.0001,5.102530737604823,49.9999,0,0.006680017205735735,0.032309812929072444,77.996824588355,0.051774728893215965,0.0005353997831332432,232.0419110642422,Laminar,True,True,True
13,0.6013792512720315,21,1.010871709209314,3.4581195551004207,31.228305893395593,73.9991789183832,-0.08583697436462238,0.0001,11.000821081616806,49.9999,0,0.005620049544901074,0.036851970965145996,75.25791005260089,0.07912020719021803,0.0007930208493423554,239.2784223218971,Laminar,True,True,True
14,0.6227800854431631,23,1.0396560556312626,3.4308291872008314,34.91208927951904,72.96350423904765,-0.13158924556576515,0.0001,12.036495760952349,49.9999,0,0.0068090959949789346,0.039432331874358524,72.4935214703214,0.07047308567500024,0.0007314872386353333,226.1705801630423,Laminar,True,True,True
15,0.6090640201083148,23,0.9384239445276328,3.4435919610044237,32.583750724135555,71.44055352499592,-0.0659640743458675,0.0001,13.55944647500408,49.9999,0,0.0060470210840188185,0.042319832294883536,70.51035607936612,0.08904820200345331,0.0009039342649273429,225.65504941742532,Laminar,True,True,True
16,0.5479826592565635,22,0.8179868868489357,3.15354170278864,28.495711510676585,71.22219478053292,-0.01493915657534979,0.0001,13.777805219467083,49.9999,0,0.002653294713078046,0.042459001743929914,72.1778554611046,0.13526402071488242,0.001235372296217936,234.19107411097073,Laminar,True,True,True
17,0.6440738199251403,20,1.103967104088208,3.655793099912919,31.57934208176416,79.05514383841698,-0.09978259997260779,0.0001,5.944856161583019,49.9999,0,0.007992191905737855,0.043293388626642434,77.049878414153,0.06558177556924791,0.0007039917451393125,252.64137375363222,Laminar,True,True,True
18,0.6127627579468342,23,1.0544893485463722,2.680272917155726,35.25325501656656,79.98804501657553,-0.09697682887595507,0.0001,5.011954983424474,49.9999,0,0.006252525741523838,0.046146750786254666,78.3094137103371,0.09725671977908575,0.0009932549306782498,266.3700921010935,Laminar,True,True,True
19,0.5894542383468464,17,0.9007208821162802,3.710232912820048,23.312254995976765,81.22685189421229,-0.003826271261181478,0.0001,3.773148105787712,49.9999,0,0.00495748685353874,0.04682973661126845,78.72188086463481,0.1167002734997813,0.001146491180511371,280.79818739804136,Laminar,True,True,True
20,0.6296681579505228,20,0.9020984953583326,3.847149523181715,27.541969907166653,71.50090202919115,-0.02963921889702074,0.0001,13.499097970808847,49.9999,0,0.0071918024865699525,0.05165639132668258,71.28462338398116,0.10038832926290983,0.0010535222394451166,247.53737595700534,Laminar,True,True,True
